,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Runtime(Seconds)
0,0.0,A*,0.0,7908.0,0.051
1,0.0,I-A*,0.0,16301.0,0.051
2,0.0,MM,0.0,13190.0,0.07
3,0.0,I-MM,0.0,32533.0,0.07
4,0.0,IDA*,0.0,19218.0,0.018
5,0.0,D-A*,0.0,6542.0,0.018
6,0.0,MBBDS(k=1)(1.00),0.0,88200.0,0.119
7,0.0,MBBDS(k=1)(0.90),0.0,88200.0,0.117
8,0.0,MBBDS(k=1)(0.75),0.0,88200.0,0.117
9,0.0,MBBDS(k=1)(0.50),0.0,108375.0,0.139
10,0.0,MBBDS(k=1)(0.25),8.0,211080.0,0.262
11,0.0,MBBDS(k=1)(0.10),10.0,398453.0,0.509
12,0.0,IDMM,0.0,19478.0,0.021
13,0.0,D-MM,0.0,6718.0,0.021
14,1.0,A*,0.0,224798.0,2.38
15,1.0,I-A*,0.0,481267.0,2.38
16,1.0,MM,0.0,197496.0,1.711
17,1.0,I-MM,0.0,353581.0,1.711
18,1.0,IDA*,0.0,1086947.0,1.142
19,1.0,D-A*,0.0,365293.0,1.142
20,1.0,MBBDS(k=1)(1.00),0.0,1167959.0,2.733
21,1.0,MBBDS(k=1)(0.90),0.0,1181140.0,2.693
22,1.0,MBBDS(k=1)(0.75),0.0,1249803.0,2.712
23,1.0,MBBDS(k=1)(0.50),0.0,1598637.0,3.115
24,1.0,MBBDS(k=1)(0.25),2.0,2487956.0,3.951
25,1.0,MBBDS(k=1)(0.10),4.0,4040385.0,6.103
26,1.0,IDMM,0.0,658626.0,0.947
27,1.0,D-MM,0.0,237923.0,0.947
28,2.0,A*,0.0,2194767.0,28.588
29,2.0,I-A*,0.0,4719266.0,28.588
30,2.0,MM,0.0,726577.0,7.203
31,2.0,I-MM,0.0,1127257.0,7.203
32,2.0,IDA*,0.0,18196726.0,18.852
33,2.0,D-A*,0.0,6395370.0,18.852
34,2.0,MBBDS(k=1)(1.00),0.0,3443240.0,11.053
35,2.0,MBBDS(k=1)(0.90),0.0,3507526.0,10.985
36,2.0,MBBDS(k=1)(0.75),0.0,3874498.0,11.285
37,2.0,MBBDS(k=1)(0.50),0.0,4852116.0,12.503
38,2.0,MBBDS(k=1)(0.25),0.0,7060511.0,15.0
39,2.0,MBBDS(k=1)(0.10),0.0,9263382.0,16.78
40,2.0,IDMM,0.0,12063874.0,20.383
41,2.0,D-MM,0.0,4613805.0,20.383
42,3.0,A*,7.0,8492710.0,118.205
43,3.0,I-A*,7.0,18170333.0,118.205
44,3.0,MM,0.0,986963.0,10.163
45,3.0,I-MM,0.0,1399871.0,10.163
46,3.0,IDA*,1.0,113511083.0,117.765
47,3.0,D-A*,1.0,66428372.0,117.765
48,3.0,MBBDS(k=1)(1.00),0.0,2796087.0,10.652
49,3.0,MBBDS(k=1)(0.90),0.0,3114955.0,11.22
50,3.0,MBBDS(k=1)(0.75),0.0,4089811.0,12.813
51,3.0,MBBDS(k=1)(0.50),0.0,4789954.0,13.02
52,3.0,MBBDS(k=1)(0.25),0.0,6612671.0,14.111
53,3.0,MBBDS(k=1)(0.10),0.0,8816042.0,15.671
54,3.0,IDMM,4.0,114644537.0,204.941
55,3.0,D-MM,4.0,69860224.0,204.941
