,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Iterations,Runtime(seconds)
0,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*,25262.0,1.0,1929.0,0.0,0.0136
1,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-A*,-,1.0,4045.0,0.0,0.0136
2,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,25935.0,1.0,3411.0,0.0,0.0141
3,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,8077.0,0.0,0.0141
4,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDA*,-,1.0,5443.0,0.0,0.0049
5,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-A*,-,1.0,4995.0,0.0,0.0049
6,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(1.00),25262,1.0,1929.0,0.0,0.0079
7,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.90),22735,1.0,2062.0,0.0,0.012
8,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.75),18946,1.0,2161.0,0.0,0.0139
9,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.50),12631,1.0,2265.0,0.0,0.0093
10,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.25),6315,1.0,2370.0,0.0,0.0043
11,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,A*+IDA*(0.10),2526,1.0,2451.0,0.0,0.0032
12,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(1.00)",25262,1.0,36159.0,5.0,0.0485
13,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(0.90)",22735,1.0,35966.0,5.0,0.0476
14,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=1)(0.75)",18946,1.0,35663.0,5.0,0.0456
